"Folketal den 1. i kvartalet efter civilstand, alder, tid, omr�de og k�n"

" "," "," "," ","M�nd","Kvinder"
"I alt"
" ","I alt"
" "," ","2021K4"
" "," "," ","Region Hovedstaden",916231,949857
" "," "," ","K�benhavn",317330,326283
" "," "," ","Frederiksberg",49130,54652
" "," "," ","Drag�r",7149,7467
" "," "," ","T�rnby",21156,21508
" "," "," ","Albertslund",13581,13830
" "," "," ","Ballerup",24078,25181
" "," "," ","Br�ndby",17428,18073
" "," "," ","Gentofte",35494,38776
" "," "," ","Gladsaxe",34346,34789
" "," "," ","Glostrup",11765,11778
" "," "," ","Herlev",14105,14763
" "," "," ","Hvidovre",26286,26991
" "," "," ","H�je-Taastrup",26455,26247
" "," "," ","Ish�j",11543,11588
" "," "," ","Lyngby-Taarb�k",28543,29291
" "," "," ","R�dovre",20217,21002
" "," "," ","Vallensb�k",8270,8231
" "," "," ","Aller�d",12694,13188
" "," "," ","Egedal",21957,22269
" "," "," ","Fredensborg",19934,21218
" "," "," ","Frederikssund",22633,23209
" "," "," ","Fures�",20180,21180
" "," "," ","Gribskov",20573,20655
" "," "," ","Halsn�s",15664,15801
" "," "," ","Helsing�r",30503,32594
" "," "," ","Hiller�d",25888,26818
" "," "," ","H�rsholm",11643,13108
" "," "," ","Rudersdal",28038,29311
" "," "," ","Bornholm",19597,20013
" "," "," ","Christians�",51,43
" "," "," ","Region Sj�lland",419997,422684
" "," "," ","Greve",25057,25644
" "," "," ","K�ge",30652,31054
" "," "," ","Lejre",14232,14398
" "," "," ","Roskilde",43717,45491
" "," "," ","Solr�d",11628,11969
" "," "," ","Faxe",18926,18136
" "," "," ","Guldborgsund",30094,30223
" "," "," ","Holb�k",36105,36557
" "," "," ","Kalundborg",24345,24085
" "," "," ","Lolland",20316,19925
" "," "," ","N�stved",41549,42101
" "," "," ","Odsherred",16534,16426
" "," "," ","Ringsted",17743,17390
" "," "," ","Slagelse",39589,40055
" "," "," ","Sor�",15007,14963
" "," "," ","Stevns",11835,11558
" "," "," ","Vordingborg",22668,22709
" "," "," ","Region Syddanmark",613892,612906
" "," "," ","Assens",20554,20307
" "," "," ","Faaborg-Midtfyn",25966,25822
" "," "," ","Kerteminde",11847,12159
" "," "," ","Langeland",6263,6057
" "," "," ","Middelfart",19806,19714
" "," "," ","Nordfyns",14994,14670
" "," "," ","Nyborg",15841,16214
" "," "," ","Odense",101782,104123
" "," "," ","Svendborg",29402,29694
" "," "," ","�r�",3013,2999
" "," "," ","Billund",13449,13132
" "," "," ","Esbjerg",57897,57573
" "," "," ","Fan�",1669,1767
" "," "," ","Fredericia",25807,25729
" "," "," ","Haderslev",27885,27466
" "," "," ","Kolding",46697,46621
" "," "," ","S�nderborg",36880,36805
" "," "," ","T�nder",18618,18268
" "," "," ","Varde",25189,24471
" "," "," ","Vejen",21759,20930
" "," "," ","Vejle",59303,59061
" "," "," ","Aabenraa",29271,29324
" "," "," ","Region Midtjylland",670270,669851
" "," "," ","Favrskov",24569,24177
" "," "," ","Hedensted",24066,22981
" "," "," ","Horsens",47292,46613
" "," "," ","Norddjurs",18918,18104
" "," "," ","Odder",11426,11780
" "," "," ","Randers",49392,49384
" "," "," ","Sams�",1850,1857
" "," "," ","Silkeborg",48277,48502
" "," "," ","Skanderborg",31795,32182
" "," "," ","Syddjurs",21885,21744
" "," "," ","Aarhus",174596,180862
" "," "," ","Herning",45005,44191
" "," "," ","Holstebro",29195,29318
" "," "," ","Ikast-Brande",21404,20474
" "," "," ","Lemvig",9879,9490
" "," "," ","Ringk�bing-Skjern",28592,27603
" "," "," ","Skive",22942,22155
" "," "," ","Struer",10477,10318
" "," "," ","Viborg",48710,48116
" "," "," ","Region Nordjylland",298820,292904
" "," "," ","Br�nderslev",18324,17863
" "," "," ","Frederikshavn",29713,29170
" "," "," ","Hj�rring",31993,31868
" "," "," ","Jammerbugt",19279,18893
" "," "," ","L�s�",890,905
" "," "," ","Mariagerfjord",21190,20372
" "," "," ","Mors�",10188,9867
" "," "," ","Rebild",15561,15077
" "," "," ","Thisted",21762,21353
" "," "," ","Vesthimmerlands",18431,17911
" "," "," ","Aalborg",111489,109625